defect;row_min;row_max;detector_min;detector_max;fea_num;fea_desc;fea_type;fea_dist;sect_num;sect_dist;fea_length;fea_width;clck_start;fea_depth;remark
0;22;28;398;2;2940(5);потеря металла;внутренний;431.487;10165;0.073;19;20;172.7;2.6;04.2.1. потеря металла
1;22;28;5;9;2940(4);потеря металла;внутренний;431.487;10165;0.073;19;20;179;2;04.2.1. потеря металла
2;22;28;12;16;2940(3);потеря металла;внутренний;431.487;10165;0.073;19;20;185.3;2.4;04.2.1. потеря металла
3;23;29;391;395;2940(6);потеря металла;внутренний;431.49;10165;0.076;19;20;166.4;2.7;04.2.1. потеря металла
4;23;29;383;387;2940(7);потеря металла;внутренний;431.49;10165;0.076;19;20;159.2;4.2;04.2.1. потеря металла
5;23;29;376;380;2940(8);потеря металла;внутренний;431.49;10165;0.076;19;20;152.9;3.9;04.2.1. потеря металла
6;23;29;20;24;2940(2);потеря металла;внутренний;431.49;10165;0.076;19;20;192.5;1.8;04.2.1. потеря металла
7;24;27;367;369;2940(9);потеря металла;внутренний;431.494;10165;0.08;10;10;144.8;1.7;04.2.1. потеря металла
8;25;27;32;33;2940(1);потеря металла;внутренний;431.497;10165;0.083;6;6;203.3;1.7;04.2.1. потеря металла
9;47;53;17;21;2940(12);потеря металла;внутренний;431.569;10165;0.155;19;20;189.8;4.5;04.2.1. потеря металла
10;49;55;380;384;2940(13);потеря металла;внутренний;431.576;10165;0.162;19;20;156.5;3.4;04.2.1. потеря металла
11;49;52;369;371;2940(14);потеря металла;внутренний;431.576;10165;0.162;10;10;146.6;0.9;04.2.1. потеря металла
12;49;52;362;364;2940(15);потеря металла;внутренний;431.576;10165;0.162;10;10;140.3;1.3;04.2.1. потеря металла
13;51;53;35;36;2940(10);потеря металла;внутренний;431.583;10165;0.169;6;6;206;1.2;04.2.1. потеря металла
14;51;53;28;29;2940(11);потеря металла;внутренний;431.583;10165;0.169;6;6;199.7;1.1;04.2.1. потеря металла
15;57;59;399;0;2940(16);потеря металла;внутренний;431.603;10165;0.189;8;8;173.5;3.6;04.2.1. потеря металла
16;67;73;9;12;2940(17);потеря металла;внутренний;431.636;10165;0.222;19;20;182.5;2.1;04.2.1. потеря металла
17;70;76;388;391;2940(18);потеря металла;внутренний;431.645;10165;0.231;19;20;163.5;2.9;04.2.1. потеря металла
18;75;77;377;378;2940(21);потеря металла;внутренний;431.662;10165;0.248;8;8;153.8;1.6;04.2.1. потеря металла
19;77;79;28;29;2940(19);потеря металла;внутренний;431.669;10165;0.255;8;8;199.5;1;04.2.1. потеря металла
20;77;79;21;23;2940(20);потеря металла;внутренний;431.669;10165;0.255;8;8;193.5;3.6;04.2.1. потеря металла
21;87;93;0;4;2940(22);потеря металла;внутренний;431.702;10165;0.288;19;20;174.5;2.1;04.2.1. потеря металла
22;89;95;393;397;2940(23);потеря металла;внутренний;431.708;10165;0.294;19;20;168.2;1;04.2.1. потеря металла
